question_no | count      | i          | time_spent 
       63315|        5860|        5860|               6502.69 
        8312|        5870|        5870|               6514.86 
       35435|        5880|        5880|               6525.14 
      161636|        5890|        5890|               6536.94 
       31951|        5900|        5900|               6547.14 
        9009|        5910|        5910|               6555.68 
       22259|        5920|        5920|               6563.92 
       13972|        5930|        5930|               6572.95 
      148609|        5940|        5940|               6582.19 
       32741|        5950|        5950|               6593.11 
       50146|        5960|        5960|               6603.35 
        2610|        5970|        5970|               6611.86 
        9140|        5980|        5980|               6620.98 
       13411|        5990|        5990|               6632.88 
       45001|        6000|        6000|               6643.63 
        8916|        6010|        6010|               6656.44 
        6949|        6020|        6020|               6667.12 
       44558|        6030|        6030|               6681.41 
       60546|        6040|        6040|               6699.36 
       15592|        6050|        6050|               6711.29 
       21071|        6060|        6060|               6724.73 
       47909|        6070|        6070|               6736.23 
      157901|        6080|        6080|               6744.99 
       46013|        6090|        6090|               6755.31 
       17074|        6100|        6100|               6765.21 
       21141|        6110|        6110|               6774.24 
       35204|        6120|        6120|               6782.69 
       26519|        6130|        6130|               6790.78 
        6392|        6140|        6140|               6799.61 
        3390|        6150|        6150|               6807.51 
       19607|        6160|        6160|               6816.04 
       38182|        6170|        6170|               6824.19 
        6481|        6180|        6180|               6834.20 
      154754|        6190|        6190|               6844.27 
       30705|        6200|        6200|               6853.75 
       37290|        6210|        6210|               6862.34 
        3734|        6220|        6220|               6871.42 
       39309|        6230|        6230|               6881.51 
        9907|        6240|        6240|               6890.17 
       39342|        6250|        6250|               6899.36 
        6948|        6260|        6260|               6911.12 
       11609|        6270|        6270|               6924.52 
        8364|        6280|        6280|               6932.47 
      153769|        6290|        6290|               6946.34 
       15908|        6300|        6300|               6959.07 
        7151|        6310|        6310|               6969.30 
       59525|        6320|        6320|               6980.00 
      147760|        6330|        6330|               6990.77 
       31493|        6340|        6340|               6999.34 
        1868|        6350|        6350|               7006.98 
        1648|        6360|        6360|               7015.36 
      156524|        6370|        6370|               7022.60 
       39034|        6380|        6380|               7030.15 
       65917|        6390|        6390|               7039.09 
       42575|        6400|        6400|               7048.82 
       21121|        6410|        6410|               7057.15 
      165941|        6420|        6420|               7067.90 
       10946|        6430|        6430|               7078.18 
       38315|        6440|        6440|               7086.91 
       27724|        6450|        6450|               7094.41 
        5331|        6460|        6460|               7102.44 
       26669|        6470|        6470|               7110.82 
        3549|        6480|        6480|               7118.78 
       16415|        6490|        6490|               7129.94 
       19683|        6500|        6500|               7140.15 
       45399|        6510|        6510|               7151.43 
         478|        6520|        6520|               7160.57 
       59017|        6530|        6530|               7172.83 
       42870|        6540|        6540|               7190.58 
       36286|        6550|        6550|               7202.12 
        6516|        6560|        6560|               7211.51 
       19007|        6570|        6570|               7225.10 
       31986|        6580|        6580|               7239.63 
      155316|        6590|        6590|               7252.74 
        2573|        6600|        6600|               7266.68 
       67839|        6610|        6610|               7275.98 
       43069|        6620|        6620|               7286.00 
       57683|        6630|        6630|               7293.99 
       46271|        6640|        6640|               7303.09 
      151152|        6650|        6650|               7316.32 
       38851|        6660|        6660|               7327.51 
       11243|        6670|        6670|               7338.21 
       46391|        6680|        6680|               7349.79 
       21465|        6690|        6690|               7359.45 
      149696|        6700|        6700|               7368.88 
       66728|        6710|        6710|               7381.86 
       39834|        6720|        6720|               7391.19 
      146818|        6730|        6730|               7400.38 
       34988|        6740|        6740|               7412.32 
       22340|        6750|        6750|               7423.56 
       12240|        6760|        6760|               7435.94 
       11279|        6770|        6770|               7448.00 
       19935|        6780|        6780|               7460.61 
       45451|        6790|        6790|               7471.83 
        8881|        6800|        6800|               7483.06 
      156802|        6810|        6810|               7494.69 
       41330|        6820|        6820|               7507.17 
       34884|        6830|        6830|               7521.23 
       28891|        6840|        6840|               7534.41 
       41598|        6850|        6850|               7544.70 
      163751|        6860|        6860|               7557.60 
       39297|        6870|        6870|               7569.93 
        8273|        6880|        6880|               7580.49 
       62606|        6890|        6890|               7589.75 
        7212|        6900|        6900|               7599.99 
       14835|        6910|        6910|               7607.56 
        3407|        6920|        6920|               7616.12 
       11910|        6930|        6930|               7623.82 
        7466|        6940|        6940|               7635.88 
      157305|        6950|        6950|               7645.09 
       46796|        6960|        6960|               7659.69 
       13021|        6970|        6970|               7669.39 
       30451|        6980|        6980|               7680.44 
        9417|        6990|        6990|               7691.23 
       33419|        7000|        7000|               7699.86 
       14869|        7010|        7010|               7708.46 
        2528|        7020|        7020|               7717.44 
       26645|        7030|        7030|               7728.07 
       46327|        7040|        7040|               7741.50 
       10994|        7050|        7050|               7754.01 
       64116|        7060|        7060|               7764.92 
       31521|        7070|        7070|               7778.84 
       13863|        7080|        7080|               7792.57 
      146775|        7090|        7090|               7805.44 
      162301|        7100|        7100|               7814.44 
         827|        7110|        7110|               7823.67 
       62271|        7120|        7120|               7832.29 
       32795|        7130|        7130|               7843.42 
       13643|        7140|        7140|               7854.25 
      147693|        7150|        7150|               7864.44 
        3840|        7160|        7160|               7875.64 
        3140|        7170|        7170|               7888.04 
       38135|        7180|        7180|               7899.46 
       28777|        7190|        7190|               7909.69 
       12752|        7200|        7200|               7919.33 
       37946|        7210|        7210|               7935.46 
       37364|        7220|        7220|               7948.47 
       48208|        7230|        7230|               7960.27 
       46924|        7240|        7240|               7970.72 
        8499|        7250|        7250|               7981.00 
       39849|        7260|        7260|               7989.49 
        9756|        7270|        7270|               7997.56 
         350|        7280|        7280|               8006.33 
       54457|        7290|        7290|               8014.37 
       33452|        7300|        7300|               8023.43 
       46599|        7310|        7310|               8032.05 
       12208|        7320|        7320|               8040.26 
       19911|        7330|        7330|               8049.72 
        6591|        7340|        7340|               8061.20 
        4790|        7350|        7350|               8075.99 
       29776|        7360|        7360|               8086.94 
       21063|        7370|        7370|               8098.28 
        9629|        7380|        7380|               8107.11 
        6694|        7390|        7390|               8118.24 
       42940|        7400|        7400|               8129.27 
        5885|        7410|        7410|               8142.80 
        1966|        7420|        7420|               8153.12 
       47835|        7430|        7430|               8161.39 
       40359|        7440|        7440|               8169.97 
       55303|        7450|        7450|               8180.13 
       10213|        7460|        7460|               8191.12 
       11805|        7470|        7470|               8202.39 
       55227|        7480|        7480|               8212.22 
       29441|        7490|        7490|               8226.92 
